method,display_name,episode,reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,energy_per_successful_task,reward_task_success,reward_load_balance,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,selected_offload
han_mappo_latency_priority_multiuser_u35,HAN+MAPPO,1,54.28208071859808,3.04558385300953,2.0695274565636557,4.3759219601125166,9401.301090938194,1.0,0.0,0.47692307692307695,17920.0,228.0,0.012723214285714286,39.000001549720764,267.0000011920929,34.0,0.0,0.9851004463620484,0.9872767857142857,0.7967506092607636,0.7957163718968036,0.20298555898101575,0.9987019308778192,0.9987019308778192,0.0012980691221807562,0.0018973214285714286,0.11383928571428571,0.029067803793162903,0.7916792736527418,512.0,0.7916792736527418,0.9154028521313222,0.7916792736527418,0.7916792736527418,0.20184974849910758,6155.0,4904.0,1244.0,1.9170679222957165,140.11428571428576,23.434313014562004,-42.71984355080776,-28.515248540828456,-35.74285714285749,-2.2885715756565332,0.0,
han_mappo_latency_priority_multiuser_u35,HAN+MAPPO,2,51.96075358201051,3.114288335401314,2.0004570519935023,4.132642878728703,9167.428326114892,1.0,0.0,0.5394736842105263,17920.0,307.0,0.01713169642857143,45.6000018119812,352.6000008583069,35.0,0.0,0.9803236606663891,0.9828683035714285,0.7965662455458374,0.7951495553759095,0.203071948261924,0.9982215036378335,0.9982215036378335,0.0017784963621665319,0.001953125,0.1171875,0.060053436137378256,0.6126252501148233,511.0,0.6126252501148233,0.8000985069169195,0.6126252501148233,0.6126252501148233,0.20129345189975748,6174.0,4918.0,1245.0,1.864056186684606,140.5142857142859,20.442516851727518,-41.75498310266239,-28.333067621468075,-35.88571428571465,-3.0222858991473913,0.0,
han_mappo_latency_priority_multiuser_u35,HAN+MAPPO,3,43.00923423183849,3.1085470476958013,2.0631490379333868,4.447445057827895,9544.419208651592,1.0,0.0,0.5072463768115942,17920.0,461.0,0.025725446428571427,40.2000013589859,501.19999980926514,34.0,0.0,0.9720312500106437,0.9742745535714286,0.7766060999351071,0.7757251660994976,0.2231404958677686,0.9988656619672662,0.9988656619672662,0.0011343380327337547,0.0018973214285714286,0.11383928571428571,0.10888483082565899,0.3932046078673432,512.0,0.3932046078673432,0.7336244494517402,0.3932046078673432,0.3932046078673432,0.22233025441581591,6164.0,4787.0,1372.0,1.9938205992587408,136.77142857142738,18.78078590596458,-41.01948712026536,-27.88463755795191,-39.34285714285792,-4.296000232920051,0.0,
han_mappo_latency_priority_multiuser_u35,HAN+MAPPO,4,47.65013773798273,3.0695261981688295,2.095264348018784,4.474416567592883,9806.700421249525,1.0,0.0,0.5675675675675675,17920.0,263.0,0.014676339285714286,44.400001764297485,307.40000116825104,32.0,0.0,0.9828459820776646,0.9853236607142857,0.7752380952380953,0.774500475737393,0.22454804947668885,0.9990485252140818,0.9990485252140818,0.0009514747859181732,0.0017857142857142857,0.10714285714285714,0.031385632442564926,0.7769208600302561,512.0,0.7769208600302561,0.8991929844947222,0.7769208600302561,0.7769208600302561,0.2231208372978116,6300.0,4884.0,1407.0,2.0079239191747593,139.54285714285697,23.019340403065,-43.25478429488398,-28.56527788467486,-40.45714285714377,-2.634857310913503,0.0,
han_mappo_latency_priority_multiuser_u35,HAN+MAPPO,5,66.6267352194991,2.665704698454602,2.0180995404292763,4.077935203340286,8732.077951401088,1.0,0.0,0.5131578947368421,17920.0,577.0,0.03219866071428571,45.60000157356262,622.600000500679,37.0,0.0,0.9652566964006317,0.9678013392857143,0.8496721573644651,0.8488576449912126,0.15018373542099378,0.9990413804122065,0.9990413804122065,0.0009586195877935772,0.002064732142857143,0.12388392857142858,0.061168338918237905,0.6068472831722741,512.0,0.6068472831722741,0.8604804591403776,0.6068472831722741,0.6068472831722741,0.14842626617670554,6253.0,5313.0,929.0,1.6435305762095027,151.80000000000436,22.028299753993657,-44.7056466490413,-30.302205515256606,-26.85714285714277,-5.336571502499282,0.0,
han_pdqn,HAN+PDQN,1,89.98848920408636,2.091674879942435,1.8698590086924174,4.243057873526857,7682.440703293817,1.0,0.0,0.16363636363636364,17920.0,215.0,0.011997767857142858,66.00000274181366,281.00000035762787,92.0,0.0,0.9843191964086145,0.9880022321428571,0.9188179899334308,0.9182216453026124,0.08112932013629726,0.9993509654389097,0.9993509654389097,0.0006490345610903781,0.005133928571428571,0.3080357142857143,0.054545211637534605,0.641792354282992,505.0,0.641792354282992,0.8099175182319213,0.641792354282992,0.641792354282992,0.08080480285575208,6159.0,5659.0,498.0,1.357561530887757,161.6857142857223,20.45041733535607,-44.31108744907686,-31.142269225429843,-14.28571428571424,-2.4085715590044856,0.0,
han_pdqn,HAN+PDQN,2,84.53505249321461,2.1457818939529085,1.792342864734376,4.17436665625385,7518.579951196366,1.0,0.0,0.1510791366906475,17920.0,245.0,0.013671875,83.40000331401825,328.39999985694885,118.0,0.0,0.9816741071508399,0.986328125,0.9040763506955678,0.9036378334680679,0.09587712206952304,0.999514955537591,0.999514955537591,0.00048504446240905415,0.006584821428571429,0.3950892857142857,0.07836378843687679,0.5227013988971496,495.0,0.5227013988971496,0.6694411198797777,0.5227013988971496,0.5227013988971496,0.09539207760711399,6182.0,5589.0,590.0,1.3452460102337387,159.68571428572156,16.568667717024592,-42.321923284143566,-29.639693109607464,-16.94285714285709,-2.8148572891950607,0.0,
han_pdqn,HAN+PDQN,3,80.90648655442055,2.1544126741922307,1.8367449395992688,4.299386196093544,7668.890904848719,1.0,0.0,0.11724137931034483,17920.0,447.0,0.02494419642857143,87.00000309944153,534.0000004768372,128.0,0.0,0.9702008928305337,0.9750558035714285,0.9039740470397405,0.9030951223464593,0.09593258791119753,0.9990277102576568,0.9990277102576568,0.0009722897423432182,0.007142857142857143,0.42857142857142855,0.09976982245731443,0.4295115470146643,503.0,0.4295115470146643,0.6296884775012216,0.4295115470146643,0.4295115470146643,0.095770539620807,6165.0,5573.0,591.0,1.3760794733265242,159.22857142857853,15.836665209155798,-42.59129992800177,-30.076022566447413,-16.91428571428566,-4.577143089845777,0.0,
han_pdqn,HAN+PDQN,4,85.9341966859065,2.1678978300142715,1.8675005772319875,4.250764537397328,7982.285412966459,1.0,0.0,0.26804123711340205,17920.0,249.0,0.013895089285714285,58.20000231266022,307.2000004053116,71.0,0.0,0.982857142834525,0.9861049107142857,0.9024583663758922,0.9023152553124009,0.09752616555661275,0.9998414208690136,0.9998414208690136,0.0001585791309863622,0.003962053571428571,0.23772321428571427,0.05867285498396612,0.6198379349747883,506.0,0.6198379349747883,0.7791848906959279,0.6198379349747883,0.6198379349747883,0.09736758642562639,6305.0,5690.0,614.0,1.4028621112419084,162.5714285714369,19.713377734607022,-44.782368354292004,-31.363669842765812,-17.571428571428516,-2.633143008686602,0.0,
han_pdqn,HAN+PDQN,5,96.03139770962298,1.9169953122771555,1.755716798166034,3.9264392191024795,6957.891124279467,1.0,0.0,0.05612244897959184,17920.0,531.0,0.029631696428571427,117.60000419616699,648.6000008583069,185.0,0.0,0.963805803523532,0.9703683035714286,0.9414868105515588,0.9408851254193961,0.058475794855408214,0.9993609202748043,0.9993609202748043,0.0006390797251957181,0.010323660714285714,0.6194196428571428,0.07772101731506446,0.5256879283982874,504.0,0.5256879283982874,0.6986386563667066,0.5256879283982874,0.5256879283982874,0.05815625499281035,6255.0,5889.0,364.0,1.1815063889080433,168.2571428571533,17.605694140441013,-43.51487448086186,-30.299994030921347,-10.457142857142825,-5.559428649023175,0.0,
